SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDRETH1,RIDRETH3,RIDEXMON,DMQMILIZ,DMDBORN4,DMDCITZN,DMDEDUC2,DMDMARTL,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU
64410,7,2,2,13,2,2,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,16360.434077000002,17220.943159,1,94,14.0,14.0,3.4,5,5,0,3,0,2,41,1.0,4.0,1.0,4.0
64411,7,2,1,37,5,6,1.0,2.0,2,1.0,5.0,5.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,18745.208345,19348.815401,1,92,7.0,7.0,2.1,3,3,0,0,2,1,37,2.0,5.0,5.0,
64412,7,2,2,54,3,3,1.0,2.0,1,1.0,3.0,3.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,27553.988486000002,28260.692091000004,2,98,3.0,3.0,0.93,1,1,0,0,0,2,54,1.0,3.0,3.0,
64413,7,2,2,48,2,2,2.0,2.0,2,1.0,2.0,5.0,2,2.0,2,2.0,2.0,2.0,1.0,2.0,2.0,2.0,25778.164795,26907.837256,2,90,1.0,1.0,0.22,3,3,0,1,0,2,48,2.0,2.0,5.0,
64414,7,2,2,1,3,3,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,17516.090261,18614.694278,1,98,2.0,2.0,0.36,5,5,3,0,0,1,25,1.0,3.0,1.0,3.0
64415,7,2,2,55,5,6,1.0,2.0,2,1.0,5.0,1.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,18525.3583,18971.375925,1,92,14.0,14.0,3.9,4,4,0,0,0,2,55,2.0,5.0,1.0,5.0
64416,7,2,1,6,5,6,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,10810.913614000001,11522.32071,1,97,7.0,7.0,1.48,5,5,1,2,0,1,40,2.0,5.0,1.0,4.0
64417,7,2,2,20,3,3,1.0,2.0,1,1.0,4.0,5.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,135384.418391,141422.067719,1,98,15.0,15.0,5.0,3,3,0,0,0,1,48,1.0,4.0,1.0,4.0
64418,7,2,2,17,3,3,1.0,2.0,1,1.0,,,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,80091.55101,82618.22682899999,1,98,6.0,6.0,1.11,5,5,0,2,1,2,37,1.0,1.0,1.0,1.0
64419,7,2,2,63,1,1,1.0,2.0,2,1.0,1.0,1.0,2,2.0,2,2.0,2.0,2.0,1.0,2.0,2.0,2.0,16352.915834,17178.789759,3,92,5.0,5.0,1.26,3,3,0,0,2,1,76,2.0,1.0,1.0,1.0
